val_loss,step,epoch,val_acc,train_epoch_time,train_loss
1.3576513528823853,1651,58,0.6888889074325562,,
,1651,58,,7.286988735198975,1.3942819833755493
1.3410028219223022,1679,59,0.7200000286102295,,
,1679,59,,6.799368381500244,1.3901689052581787
1.3417221307754517,1707,60,0.7066666483879089,,
,1707,60,,7.731386184692383,1.3890117406845093
1.3396203517913818,1735,61,0.7200000286102295,,
,1735,61,,6.630469799041748,1.3917371034622192
1.338592767715454,1763,62,0.7133333086967468,,
,1763,62,,6.415406227111816,1.3871703147888184
1.348750352859497,1791,63,0.699999988079071,,
,1791,63,,6.652287483215332,1.3911398649215698
1.3559566736221313,1819,64,0.6888889074325562,,
,1819,64,,7.745827674865723,1.3873668909072876
1.3382235765457153,1847,65,0.7155555486679077,,
,1847,65,,6.579094886779785,1.3902853727340698
1.3416740894317627,1875,66,0.7133333086967468,,
