step,epoch,val_acc,val_loss,train_loss,train_epoch_time
285,25,0.3403755724430084,1.6240490674972534,,
285,25,,,1.2928318977355957,13.395791053771973
296,26,0.38732394576072693,1.6204166412353516,,
296,26,,,1.2871633768081665,13.008368492126465
307,27,0.3849765360355377,1.623661756515503,,
307,27,,,1.2725164890289307,12.741880416870117
318,28,0.38732394576072693,1.6079063415527344,,
318,28,,,1.2555934190750122,12.88235855102539
329,29,0.4201878011226654,1.6063451766967773,,
329,29,,,1.2427085638046265,13.199692726135254
340,30,0.4248826205730438,1.6007648706436157,,
340,30,,,1.2361068725585938,13.144327163696289
351,31,0.4225352108478546,1.6004397869110107,,
351,31,,,1.229157567024231,13.4310884475708
362,32,0.40140846371650696,1.6202483177185059,,
362,32,,,1.2233753204345703,14.080265045166016
373,33,0.3380281627178192,1.5997569561004639,,
373,33,,,1.2196259498596191,13.018308639526367
384,34,0.4178403615951538,1.5967315435409546,,
384,34,,,1.2131956815719604,12.82669734954834
395,35,0.4248826205730438,1.597630500793457,,
395,35,,,1.2117979526519775,13.29513931274414
406,36,0.4225352108478546,1.5954972505569458,,
406,36,,,1.212662935256958,12.975313186645508
417,37,0.4154929518699646,1.6009306907653809,,
417,37,,,1.2087085247039795,12.610288619995117
428,38,0.4225352108478546,1.5941888093948364,,
428,38,,,1.2038836479187012,11.0014009475708
439,39,0.42957746982574463,1.5982377529144287,,
439,39,,,1.2033441066741943,13.094185829162598
450,40,0.4225352108478546,1.5986056327819824,,
450,40,,,1.2037837505340576,13.27082633972168
461,41,0.4248826205730438,1.5926024913787842,,
461,41,,,1.2044411897659302,13.71642780303955
472,42,0.4225352108478546,1.5963943004608154,,
472,42,,,1.2035422325134277,13.638731956481934
483,43,0.4178403615951538,1.5934510231018066,,
483,43,,,1.203157901763916,13.222877502441406
494,44,0.4201878011226654,1.5977634191513062,,
494,44,,,1.2013213634490967,13.540908813476562
505,45,0.4201878011226654,1.597225308418274,,
505,45,,,1.2023603916168213,12.852421760559082
516,46,0.4178403615951538,1.5975319147109985,,
516,46,,,1.2014755010604858,12.80118465423584
527,47,0.4201878011226654,1.5967251062393188,,
527,47,,,1.2011646032333374,12.694541931152344
538,48,0.4201878011226654,1.5970550775527954,,
538,48,,,1.2010890245437622,13.795517921447754
549,49,0.43427228927612305,1.5971347093582153,,
549,49,,,1.200890064239502,13.034303665161133
560,50,0.4225352108478546,1.5975959300994873,,
560,50,,,1.2010211944580078,12.876776695251465
571,51,0.4225352108478546,1.5980727672576904,,
571,51,,,1.2007046937942505,14.313937187194824
582,52,0.4248826205730438,1.5969505310058594,,
582,52,,,1.20087468624115,13.728134155273438
593,53,0.4248826205730438,1.5961182117462158,,
593,53,,,1.200921893119812,14.190251350402832
604,54,0.4248826205730438,1.5962103605270386,,
604,54,,,1.2006787061691284,13.778270721435547
615,55,0.42957746982574463,1.5902690887451172,,
615,55,,,1.2003368139266968,13.087165832519531
626,56,0.42957746982574463,1.5890063047409058,,
626,56,,,1.2006518840789795,13.206255912780762
637,57,0.43427228927612305,1.5852372646331787,,
637,57,,,1.1997250318527222,12.915994644165039
648,58,0.43427228927612305,1.5864357948303223,,
648,58,,,1.1998299360275269,13.0715970993042
659,59,0.42957746982574463,1.5885215997695923,,
659,59,,,1.2004470825195312,14.014642715454102
670,60,0.42957746982574463,1.5887205600738525,,
670,60,,,1.1992526054382324,13.281288146972656
681,61,0.4272300601005554,1.5893343687057495,,
681,61,,,1.1998811960220337,13.357070922851562
692,62,0.4272300601005554,1.5880047082901,,
692,62,,,1.199873924255371,14.02841567993164
703,63,0.4272300601005554,1.5871797800064087,,
703,63,,,1.1995131969451904,14.0424165725708
714,64,0.4248826205730438,1.5883208513259888,,
714,64,,,1.2000930309295654,13.232880592346191
725,65,0.4272300601005554,1.5876555442810059,,
725,65,,,1.1996512413024902,13.509324073791504
736,66,0.35915493965148926,1.587801218032837,,
736,66,,,1.1994444131851196,12.955009460449219
747,67,0.4248826205730438,1.588212251663208,,
747,67,,,1.1994644403457642,12.783884048461914
