val_acc,val_loss,step,epoch,train_epoch_time,train_loss
,,930,48,11.966053009033203,1.224227786064148
0.800000011920929,1.2231301069259644,949,49,,
,,949,49,11.408495903015137,1.2240954637527466
0.7941176295280457,1.223043441772461,968,50,,
,,968,50,10.801518440246582,1.2242369651794434
0.8029412031173706,1.2226624488830566,987,51,,
,,987,51,10.839763641357422,1.2243865728378296
0.7735294103622437,1.222628116607666,1006,52,,
,,1006,52,10.767770767211914,1.2246286869049072
0.7970588207244873,1.2226941585540771,1025,53,,
,,1025,53,10.769472122192383,1.2247918844223022
0.8088235259056091,1.2226293087005615,1044,54,,
,,1044,54,11.094659805297852,1.2244325876235962
0.7941176295280457,1.2232221364974976,1063,55,,
,,1063,55,11.463951110839844,1.2239878177642822
0.7970588207244873,1.2230838537216187,1082,56,,
,,1082,56,12.021607398986816,1.2246878147125244
0.7941176295280457,1.2235926389694214,1101,57,,
,,1101,57,11.364770889282227,1.2284640073776245
0.7970588207244873,1.2229136228561401,1120,58,,
,,1120,58,11.396480560302734,1.2239967584609985
0.800000011920929,1.2226409912109375,1139,59,,
,,1139,59,11.502654075622559,1.2244497537612915
0.7970588207244873,1.2229664325714111,1158,60,,
,,1158,60,11.139018058776855,1.2228995561599731
0.7970588207244873,1.2227720022201538,1177,61,,
,,1177,61,11.06566333770752,1.225041151046753
0.7970588207244873,1.2230807542800903,1196,62,,
,,1196,62,10.710731506347656,1.2245444059371948
0.7852941155433655,1.222601294517517,1215,63,,
,,1215,63,11.441572189331055,1.2231017351150513
0.8029412031173706,1.2226157188415527,1234,64,,
,,1234,64,9.524039268493652,1.2233165502548218
0.7852941155433655,1.2226192951202393,1253,65,,
,,1253,65,14.017045974731445,1.2230420112609863
0.800000011920929,1.2227133512496948,1272,66,,
,,1272,66,13.360773086547852,1.2229663133621216
