val_loss,val_acc,step,epoch,train_loss,train_epoch_time
,,1651,58,1.223278522491455,10.60208511352539
1.246722936630249,0.800000011920929,1679,59,,
,,1679,59,1.2234089374542236,10.034893035888672
1.2717838287353516,0.7711111307144165,1707,60,,
,,1707,60,1.2242861986160278,7.9274139404296875
1.254364013671875,0.7911111116409302,1735,61,,
,,1735,61,1.224576711654663,10.325681686401367
1.253877878189087,0.7888888716697693,1763,62,,
,,1763,62,1.2230826616287231,10.64949893951416
1.2542212009429932,0.7888888716697693,1791,63,,
,,1791,63,1.2227880954742432,10.825765609741211
1.2568097114562988,0.7866666913032532,1819,64,,
,,1819,64,1.2227739095687866,10.833175659179688
1.2530268430709839,0.7911111116409302,1847,65,,
,,1847,65,1.2227071523666382,10.75289249420166
1.2520390748977661,0.7933333516120911,1875,66,,
