val_acc,val_loss,epoch,step,train_epoch_time,train_loss
,,57,4697,14.286529541015625,1.259752869606018
0.5161290168762207,1.5242588520050049,58,4778,,
,,58,4778,15.275506019592285,1.258569359779358
0.5099846124649048,1.5300124883651733,59,4859,,
,,59,4859,14.78704833984375,1.2588868141174316
0.5122888088226318,1.5289374589920044,60,4940,,
,,60,4940,14.495648384094238,1.2572706937789917
0.5122888088226318,1.5281572341918945,61,5021,,
,,61,5021,15.121330261230469,1.2566856145858765
0.5130568146705627,1.5275851488113403,62,5102,,
,,62,5102,14.201038360595703,1.2560665607452393
0.5145929455757141,1.5265963077545166,63,5183,,
,,63,5183,14.008736610412598,1.2558306455612183
0.5176651477813721,1.524538516998291,64,5264,,
,,64,5264,14.53161907196045,1.2567161321640015
0.5153610110282898,1.5253798961639404,65,5345,,
