val_loss,epoch,step,val_acc,train_epoch_time,train_loss
1.5591139793395996,59,659,0.4483568072319031,,
,59,659,,6.632711410522461,1.4225133657455444
1.5579321384429932,60,670,0.43896713852882385,,
,60,670,,6.515346527099609,1.4212008714675903
1.5591862201690674,61,681,0.4507042169570923,,
,61,681,,6.588756561279297,1.4198236465454102
1.5589779615402222,62,692,0.44366195797920227,,
,62,692,,6.493350982666016,1.4193609952926636
1.5577564239501953,63,703,0.44600939750671387,,
,63,703,,7.1168742179870605,1.418879747390747
1.5565961599349976,64,714,0.43427228927612305,,
,64,714,,8.614120483398438,1.4205483198165894
1.561049461364746,65,725,0.4553990662097931,,
,65,725,,7.41581392288208,1.4193897247314453
1.5571421384811401,66,736,0.44600939750671387,,
,66,736,,6.52741813659668,1.4188287258148193
1.5558573007583618,67,747,0.44366195797920227,,
