epoch,step,val_acc,val_loss,train_loss,train_epoch_time
59,659,0.4507042169570923,1.573108196258545,,
59,659,,,1.2054708003997803,11.503928184509277
60,670,0.47417840361595154,1.5501142740249634,,
60,670,,,1.205916166305542,12.905133247375488
61,681,0.47183099389076233,1.557570457458496,,
61,681,,,1.2008129358291626,11.115416526794434
62,692,0.4671361446380615,1.55744206905365,,
62,692,,,1.201806664466858,11.744274139404297
63,703,0.4671361446380615,1.557723045349121,,
63,703,,,1.199823260307312,12.121379852294922
64,714,0.4647887349128723,1.5579055547714233,,
64,714,,,1.1996530294418335,11.856681823730469
65,725,0.4671361446380615,1.5585718154907227,,
65,725,,,1.2003649473190308,11.052183151245117
66,736,0.47887325286865234,1.5489702224731445,,
66,736,,,1.1989021301269531,11.600790977478027
67,747,0.4647887349128723,1.5582183599472046,,
67,747,,,1.2002476453781128,10.611673355102539
