val_acc,step,val_loss,epoch,train_epoch_time,train_loss
,4697,,57,12.707769393920898,1.2786871194839478
0.5792880058288574,4778,1.462021827697754,58,,
,4778,,58,12.32193374633789,1.279041051864624
0.582524299621582,4859,1.4586230516433716,59,,
,4859,,59,12.556869506835938,1.2814252376556396
0.607874870300293,4940,1.4335933923721313,60,,
,4940,,60,13.031685829162598,1.2791439294815063
0.7216828465461731,5021,1.3181012868881226,61,,
,5021,,61,12.163808822631836,1.2270323038101196
0.598705530166626,5102,1.4418671131134033,62,,
,5102,,62,12.244385719299316,1.2761839628219604
0.6019417643547058,5183,1.4399166107177734,63,,
,5183,,63,12.167157173156738,1.2780324220657349
0.5960086584091187,5264,1.4451096057891846,64,,
,5264,,64,11.95576286315918,1.2781033515930176
0.6057173609733582,5345,1.434844970703125,65,,
