val_acc,step,epoch,val_loss,train_loss,train_epoch_time
,1651,58,,1.2250577211380005,13.71999740600586
0.7844444513320923,1679,59,1.2393323183059692,,
,1679,59,,1.2250193357467651,13.688271522521973
0.7888888716697693,1707,60,1.2383642196655273,,
,1707,60,,1.225473403930664,13.81646728515625
0.7844444513320923,1735,61,1.2391161918640137,,
,1735,61,,1.2231632471084595,13.131007194519043
0.7955555319786072,1763,62,1.2372485399246216,,
,1763,62,,1.2245240211486816,13.570454597473145
0.7888888716697693,1791,63,1.2372642755508423,,
,1791,63,,1.2241028547286987,14.333251953125
0.7933333516120911,1819,64,1.235780954360962,,
,1819,64,,1.223129391670227,13.875326156616211
0.7866666913032532,1847,65,1.236309289932251,,
,1847,65,,1.2229522466659546,13.955469131469727
0.7599999904632568,1875,66,1.238124132156372,,
