step,epoch,val_acc,val_loss,train_loss,train_epoch_time
4697,57,,,1.226623773574829,13.772733688354492
4778,58,0.6159654855728149,1.4266847372055054,,
4778,58,,,1.2919433116912842,13.967247009277344
4859,59,0.6245954632759094,1.4179840087890625,,
4859,59,,,1.2918347120285034,13.87066650390625
4940,60,0.7421790957450867,1.297672152519226,,
4940,60,,,1.2556530237197876,14.82813549041748
5021,61,0.6990291476249695,1.3422176837921143,,
5021,61,,,1.2585777044296265,14.005556106567383
5102,62,0.707659125328064,1.3329837322235107,,
5102,62,,,1.2323945760726929,13.966127395629883
5183,63,0.7723840475082397,1.2720319032669067,,
5183,63,,,1.2183358669281006,14.275298118591309
5264,64,0.7189859747886658,1.3202192783355713,,
5264,64,,,1.2203134298324585,14.903614044189453
5345,65,0.7675296664237976,1.2781023979187012,,
5345,65,,,1.2107452154159546,14.502016067504883
