val_acc,step,epoch,val_loss,train_epoch_time,train_loss
,1651,58,,7.466355323791504,1.3591011762619019
0.7333333492279053,1679,59,1.295385718345642,,
,1679,59,,7.143368721008301,1.3611681461334229
0.7444444298744202,1707,60,1.2790733575820923,,
,1707,60,,7.722153663635254,1.3609238862991333
0.7377777695655823,1735,61,1.2912338972091675,,
,1735,61,,7.418628692626953,1.3591814041137695
0.746666669845581,1763,62,1.2767393589019775,,
,1763,62,,7.333710670471191,1.3620221614837646
0.7400000095367432,1791,63,1.281999111175537,,
,1791,63,,7.110750675201416,1.3609344959259033
0.7400000095367432,1819,64,1.2923877239227295,,
,1819,64,,7.607966423034668,1.3598085641860962
0.7400000095367432,1847,65,1.2845005989074707,,
,1847,65,,7.166948318481445,1.3603553771972656
0.742222249507904,1875,66,1.2816840410232544,,
