step,val_acc,val_loss,epoch,train_loss,train_epoch_time
1139,0.6000000238418579,1.4740245342254639,59,,
1139,,,59,1.489163875579834,5.600284576416016
1158,0.6117647290229797,1.468638300895691,60,,
1158,,,60,1.488149642944336,5.255754470825195
1177,0.5970588326454163,1.4666470289230347,61,,
1177,,,61,1.4849697351455688,5.602888584136963
1196,0.6058823466300964,1.4719107151031494,62,,
1196,,,62,1.4857454299926758,6.481952667236328
1215,0.6205882430076599,1.4665371179580688,63,,
1215,,,63,1.4871151447296143,5.697815895080566
1234,0.5941176414489746,1.4626052379608154,64,,
1234,,,64,1.4814460277557373,5.508950710296631
1253,0.6176470518112183,1.459600806236267,65,,
1253,,,65,1.479446291923523,5.900778770446777
1272,0.6176470518112183,1.458625078201294,66,,
1272,,,66,1.4782991409301758,5.520990371704102
1291,0.6176470518112183,1.4566528797149658,67,,
