epoch,val_loss,val_acc,step,train_epoch_time,train_loss
59,1.5475457906723022,0.4577464759349823,659,,
59,,,659,8.204322814941406,1.2988991737365723
60,1.556911826133728,0.4483568072319031,670,,
60,,,670,6.694016456604004,1.30037260055542
61,1.5592983961105347,0.4553990662097931,681,,
61,,,681,7.678144454956055,1.2998998165130615
62,1.5507087707519531,0.4507042169570923,692,,
62,,,692,8.146068572998047,1.2974014282226562
63,1.5426498651504517,0.4671361446380615,703,,
63,,,703,7.995486259460449,1.2962950468063354
64,1.5498435497283936,0.4483568072319031,714,,
64,,,714,7.989428520202637,1.2965306043624878
65,1.5511484146118164,0.4624413251876831,725,,
65,,,725,8.250086784362793,1.295973300933838
66,1.5580103397369385,0.44366195797920227,736,,
66,,,736,8.83529281616211,1.2940237522125244
67,1.5433486700057983,0.4624413251876831,747,,
67,,,747,9.456827163696289,1.2943741083145142
