step,val_acc,val_loss,epoch,train_loss,train_epoch_time
2127,,,75,1.4658864736557007,6.748698711395264
2155,0.5688889026641846,1.4636380672454834,76,,
2155,,,76,1.4703099727630615,7.352642059326172
2183,0.5844444632530212,1.4635326862335205,77,,
2183,,,77,1.4697153568267822,6.588701248168945
2211,0.5711110830307007,1.4718137979507446,78,,
2211,,,78,1.4657970666885376,8.09769344329834
2239,0.551111102104187,1.4641140699386597,79,,
2239,,,79,1.466675043106079,6.716405391693115
2267,0.5755555629730225,1.4636664390563965,80,,
2267,,,80,1.4647870063781738,6.578948974609375
2295,0.5822222232818604,1.4685919284820557,81,,
2295,,,81,1.4691568613052368,6.824673652648926
2323,0.5622222423553467,1.4662232398986816,82,,
2323,,,82,1.465334415435791,6.623265266418457
2351,0.5533333420753479,1.4779574871063232,83,,
2351,,,83,1.4622933864593506,7.312339782714844
2379,0.5666666626930237,1.462459683418274,84,,
2379,,,84,1.4649051427841187,7.03762149810791
2407,0.5866666436195374,1.4598591327667236,85,,
2407,,,85,1.4647325277328491,6.8034138679504395
2435,0.5888888835906982,1.4623327255249023,86,,
2435,,,86,1.4617184400558472,6.705487251281738
2463,0.5777778029441833,1.4614880084991455,87,,
2463,,,87,1.4642587900161743,7.405174255371094
2491,0.551111102104187,1.4616795778274536,88,,
2491,,,88,1.4627764225006104,6.893750190734863
2519,0.602222204208374,1.4610713720321655,89,,
2519,,,89,1.4595381021499634,7.11401891708374
2547,0.5933333039283752,1.4600820541381836,90,,
2547,,,90,1.46026611328125,6.862725257873535
2575,0.5955555438995361,1.4581689834594727,91,,
2575,,,91,1.45954167842865,6.821724891662598
2603,0.5444444417953491,1.4651943445205688,92,,
2603,,,92,1.4598389863967896,6.904961585998535
2631,0.5755555629730225,1.4638503789901733,93,,
2631,,,93,1.460615873336792,6.839692115783691
2659,0.6000000238418579,1.4587783813476562,94,,
2659,,,94,1.4671189785003662,7.107071876525879
2687,0.602222204208374,1.4597630500793457,95,,
2687,,,95,1.458213448524475,6.90278434753418
2715,0.5799999833106995,1.4605220556259155,96,,
2715,,,96,1.46041738986969,7.1420698165893555
2743,0.5799999833106995,1.4589322805404663,97,,
2743,,,97,1.4602117538452148,6.9655046463012695
2771,0.5822222232818604,1.4635237455368042,98,,
2771,,,98,1.461876630783081,7.236310958862305
2799,0.5777778029441833,1.4661632776260376,99,,
2799,,,99,1.4586970806121826,6.814629077911377
