val_loss,epoch,val_acc,step,train_epoch_time,train_loss
1.4166799783706665,59,0.591176450252533,1139,,
,59,,1139,7.092564105987549,1.4405847787857056
1.4152165651321411,60,0.6205882430076599,1158,,
,60,,1158,7.112185001373291,1.4398773908615112
1.4137452840805054,61,0.6029411554336548,1177,,
,61,,1177,6.904326438903809,1.4295071363449097
1.4153006076812744,62,0.6088235378265381,1196,,
,62,,1196,7.463850498199463,1.4303994178771973
1.4066495895385742,63,0.6147058606147766,1215,,
,63,,1215,7.760366916656494,1.4284309148788452
1.4151279926300049,64,0.6176470518112183,1234,,
,64,,1234,7.084981441497803,1.4312596321105957
1.4101239442825317,65,0.6411764621734619,1253,,
,65,,1253,7.425865173339844,1.4319311380386353
1.4194499254226685,66,0.5941176414489746,1272,,
,66,,1272,7.980471134185791,1.428600788116455
