epoch,val_acc,step,val_loss,train_epoch_time,train_loss
59,0.7852941155433655,1139,1.2437223196029663,,
59,,1139,,6.853500843048096,1.2661186456680298
60,0.7911764979362488,1158,1.2338491678237915,,
60,,1158,,6.900598526000977,1.2683327198028564
61,0.7823529243469238,1177,1.239838719367981,,
61,,1177,,6.950966835021973,1.2691882848739624
62,0.7852941155433655,1196,1.237951636314392,,
62,,1196,,6.965786457061768,1.2685812711715698
63,0.7823529243469238,1215,1.2407004833221436,,
63,,1215,,6.738576889038086,1.265022873878479
64,0.7941176295280457,1234,1.2280595302581787,,
64,,1234,,6.68660831451416,1.2654892206192017
65,0.7941176295280457,1253,1.231908917427063,,
65,,1253,,6.699117660522461,1.2681951522827148
66,0.7882353067398071,1272,1.2339268922805786,,
66,,1272,,7.202215194702148,1.266133189201355
67,0.7882353067398071,1291,1.237287163734436,,
