val_acc,epoch,val_loss,step,train_loss,train_epoch_time
0.7941176295280457,59,1.2250051498413086,1139,,
,59,,1139,1.221083641052246,11.898286819458008
0.800000011920929,60,1.2229574918746948,1158,,
,60,,1158,1.2209678888320923,11.242803573608398
0.8058823347091675,61,1.2220102548599243,1177,,
,61,,1177,1.2226074934005737,11.111084938049316
0.8029412031173706,62,1.2222121953964233,1196,,
,62,,1196,1.2223716974258423,11.30350399017334
0.8058823347091675,63,1.222441554069519,1215,,
,63,,1215,1.2229876518249512,11.080101013183594
0.8176470398902893,64,1.2224787473678589,1234,,
,64,,1234,1.2212945222854614,11.663503646850586
0.7735294103622437,65,1.2225443124771118,1253,,
,65,,1253,1.2223533391952515,11.834046363830566
0.7970588207244873,66,1.2232431173324585,1272,,
,66,,1272,1.2203333377838135,11.546895980834961
