val_acc,step,val_loss,epoch,train_loss,train_epoch_time
0.5164319276809692,670,1.4949004650115967,60,,
,670,,60,1.4452075958251953,6.021079063415527
0.5023474097251892,681,1.4991120100021362,61,,
,681,,61,1.4437527656555176,6.906156539916992
0.47652581334114075,692,1.4997862577438354,62,,
,692,,62,1.4428496360778809,5.782326698303223
0.5070422291755676,703,1.4993414878845215,63,,
,703,,63,1.4433438777923584,5.6478495597839355
0.5117371082305908,714,1.4971129894256592,64,,
,714,,64,1.442480444908142,5.561276435852051
0.5046948194503784,725,1.5002257823944092,65,,
,725,,65,1.4424067735671997,4.920383930206299
0.4953051507472992,736,1.503862738609314,66,,
,736,,66,1.4418760538101196,4.589446067810059
0.4953051507472992,747,1.5054798126220703,67,,
,747,,67,1.4415769577026367,6.50889778137207
0.5164319276809692,758,1.498317003250122,68,,
